id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5144873,❤️ STUDIO APT IN BEST SPOT OF IPANEMA ❤️.,503995,❤️ BrUx ❤️,Ipanema,-22.9828,-43.20467,Entire home/apt,291,1,207,2020-12-15,2.88,7,348
5145685,Apto e  areas comuns - Apto todo reformado,26603603,Eliete,Leblon,-22.984170000000002,-43.21783,Entire home/apt,543,2,71,2020-10-19,1.09,1,332
5148507,Olympic apartment / Sustainability,20087078,Alessandro,Jacarepaguá,-22.970370000000003,-43.3913,Entire home/apt,290,1,21,2020-02-25,0.33,1,352
5150560,Apartamento de frente para a praia,24323698,Andre,Barra da Tijuca,-23.0104,-43.35365,Entire home/apt,500,5,84,2020-12-13,2.54,1,35
5158153,AMAZING  2 BEDROOM APARTMENT WITH VIEW 101,10796926,Frederico & Marcela,Santa Teresa,-22.91902,-43.18101,Hotel room,208,1,97,2020-11-29,1.36,15,350
5163915,"Room confort p/2 Maracanã , Rio",8299780,Rafael,Tijuca,-22.916529999999998,-43.22933,Private room,104,1,13,2020-02-26,0.18,1,364
5172247,Suite - Rio De Janeiro - Riocentro,26748682,Rose & Soraia,Curicica,-22.949089999999998,-43.38227,Private room,120,1,2,2019-07-07,0.03,14,357
5173546,Lindo Studio no Coração da Lapa,26394281,Camilla,Centro,-22.91453,-43.18424,Entire home/apt,180,3,57,2020-11-16,0.84,1,345
5173894,Beautiful and well located apartmen,6202856,Paula Gaudenzi,Botafogo,-22.9571,-43.194590000000005,Entire home/apt,327,3,4,2020-01-01,0.09,1,16
5177465,Best cost/benefit in Gávea/ Leblon close to beach,26779651,Miriam,Gávea,-22.97839,-43.22699,Entire home/apt,260,4,115,2020-10-23,1.61,1,344
5177481,Quarto amplo em local tranquilo!,26779543,Sandra,Laranjeiras,-22.9347,-43.19905,Private room,100,3,1,2015-02-05,0.01,1,365
5177968,"Rio de Janeiro,  Barra da Tijuca, frente a praia.",26781870,Marcelo,Barra da Tijuca,-23.011020000000002,-43.41881,Entire home/apt,500,5,29,2020-01-04,0.43,1,351
5178615,LEBLON FLAT 2 SUITES,26784802,Ivone,Leblon,-22.98525,-43.22193,Entire home/apt,2000,1,86,2020-09-20,1.26,3,172
5180969,Quarto Flamengo ( 4 pessoas ),1673501,Josy,Santa Teresa,-22.92175,-43.1814,Shared room,600,1,1,2019-10-06,0.07,5,365
5182089,Casarão colonial com linda vista..,26596592,Guilherme,Glória,-22.92376,-43.17396,Private room,72,30,15,2019-08-24,0.21,6,175
5183816,Copacabana Beach apartment,26809830,Marcos,Copacabana,-22.98055,-43.19154,Entire home/apt,1057,5,1,2016-02-12,0.02,1,292
5184975,Sea Side View apartment - Copacabana,14011760,Leandro,Copacabana,-22.98463,-43.19019,Entire home/apt,1200,2,29,2020-11-02,0.48,1,348
5188261,Brand new studio in Ipanema with good wi-fi!,4658256,Vania & Hélio,Copacabana,-22.983620000000002,-43.195009999999996,Entire home/apt,150,4,153,2020-03-15,2.23,5,237
5190281,Sugar Loaf Suite in Casazen,26846934,Anne,Santa Teresa,-22.92282,-43.18228,Private room,750,2,1,2019-10-07,0.07,8,145
5194668,Gávea BNB - Suíte Roxa,4504358,Raul,Gávea,-22.97533,-43.22822,Private room,419,2,3,2015-12-20,0.04,3,270
5194731,Gávea BNB - Suíte Azul com Varanda,4504358,Raul,Gávea,-22.974439999999998,-43.22849,Private room,440,2,3,2020-10-31,0.04,3,270
5195599,Reveillon 2021 - RJ/Urca,14743853,Carlos,Botafogo,-22.95429,-43.17427,Shared room,86,3,3,2019-01-02,0.06,6,365
5199704,Carnaval com aconchego,26898524,Cristiane,Santa Teresa,-22.91757,-43.18577,Private room,220,1,2,2020-02-25,0.17,1,365
5201018,Leblon 1 bedroom apartment Bartolomeu Mitre Street,11389355,Leticia,Leblon,-22.97982,-43.22459,Entire home/apt,417,10,1,2015-02-19,0.01,5,35
5202546,Ipanema -   apto. aconchegante,26912330,Vera Lucia Gago,Ipanema,-22.983710000000002,-43.1964,Entire home/apt,280,15,14,2020-03-27,0.24,3,159
5203954,Casarão colonial com linda vista.,26596592,Guilherme,Glória,-22.92409,-43.173790000000004,Private room,72,30,13,2019-09-15,0.18,6,175
5211203,Sol House - Subway and Flamengo,26958570,Ana,Flamengo,-22.934829999999998,-43.178490000000004,Entire home/apt,392,4,5,2020-01-03,0.09,1,362
5211927,Flat no Leblon especial,8593997,Fabio,Leblon,-22.98529,-43.227959999999996,Entire home/apt,900,5,1,2020-11-12,0.7,1,291
5212678,Sea of Babylon Hostel,24415930,Cristina,Copacabana,-22.96048,-43.1721,Shared room,57,1,2,2019-01-02,0.03,5,365
5217005,Charmoso espaço em copacabana.,26518872,Rosana,Copacabana,-22.97015,-43.18605,Entire home/apt,150,1,3,2017-02-28,0.06,1,357
5218801,Copacabana central 3 qtos 3 banh c/garagem,26988167,Sérgio,Copacabana,-22.96678,-43.18619,Entire home/apt,900,3,50,2020-11-22,0.72,3,0
5220277,Apt Praia da Barra. Next to Windsor,27009538,Marcus,Barra da Tijuca,-23.012520000000002,-43.3208,Entire home/apt,497,3,28,2020-10-12,0.44,1,355
